Lemur catta
Sangihe tarsier
Tarsius sangirensis
Tarsius tumpara
Spectral tarsier
Tarsius tarsier
Wallace's tarsier
Tarsius wallacei
Allocebus trichotis
Cheirogaleus medius
Cheirogaleus shethi
Cheirogaleus crossleyi
Cheirogaleus major
Cheirogaleus grovesi
Cheirogaleus lavasoensis
Cheirogaleus minusculus
Sci News
Cheirogaleus andysabini
Cheirogaleus sibreei
Cheirogaleus thomasi
Microcebus murinus
M. ravelobensis
Microcebus tanosi
Microcebus arnholdi
Microcebus manitatra
Microcebus bongolavensis
Microcebus rufus
Microcebus mamiratra
Microcebus danfossi
Microcebus ganzhorni
Microcebus gerpi
Microcebus ravelobensis
Microcebus lehilahytsara
Microcebus jollyae
Microcebus jonahi
Microcebus macarthurii
Microcebus berthae
Microcebus margotmarshae
Microcebus marohita
Microcebus tavaratra
Microcebus boraha
Microcebus myoxinus
Microcebus griseorufus
Microcebus sambiranensis
Microcebus simmonsi
Mirza coquereli
Mirza zaza
Phaner electromontis
Phaner furcifer
Phaner pallescens
Phaner parienti
Daubentonia madagascariensis
Avahi cleesei
Avahi betsileo
Avahi laniger
Avahi mooreorum
Avahi peyrierasi
Avahi ramanantsoavanai
Avahi unicolor
Avahi meridionalis
Avahi occidentalis
Indri indri
Coquerel's sifaka
Propithecus coquereli
Crowned sifaka
Propithecus coronatus
Diademed sifaka
Propithecus diadema
Golden-crowned sifaka
Propithecus tattersalli
Milne-Edwards's sifaka
Propithecus edwardsi
Perrier's sifaka
Propithecus perrieri
Silky sifaka
Propithecus candidus
Verreaux's sifaka
Propithecus verreauxi
Propithecus deckenii
Black lemur
Eulemur macaco
Eulemur flavifrons
Eulemur collaris
Eulemur fulvus
Crowned lemur
Eulemur coronatus
Gray-headed lemur
Eulemur cinereiceps
Mongoose lemur
Eulemur mongoz
Red lemur
Eulemur rufus
Red-bellied lemur
Eulemur rubriventer
Red-fronted lemur
Eulemur rufifrons
Eulemur sanfordi
White-headed lemur
Eulemur albifrons
Hapalemur griseus
Hapalemur aureus
Hapalemur alaotrensis
Hapalemur meridionalis
Hapalemur occidentalis
Prolemur simus
Varecia variegata
Varecia rubra
Lepilemur aeeclis
Lepilemur ahmansoni
Lepilemur ankaranensis
Lepilemur betsileo
Lepilemur milanoii
Lepilemur fleuretae
Lepilemur dorsalis
Lepilemur grewcockorum
Lepilemur tymerlachsoni
Lepilemur hollandorum
Lepilemur hubbardorum
Lepilemur jamesorum
Lepilemur edwardsi
Lepilemur septentrionalis
Lepilemur otto
Lepilemur petteri
Lepilemur randrianasoloi
Lepilemur ruficaudatus
Lepilemur sahamalaza
Lepilemur scottorum
Lepilemur seali
Lepilemur microdon
Lepilemur mustelinus
Lepilemur leucopus
Lepilemur wrightae
Euoticus pallidus
Euoticus elegantulus
Dusky bushbaby
Mohol bushbaby
Galago moholi
Senegal bushbaby
Galago senegalensis
Somali bushbaby
Galago matschiei
Galago gallarum
Galago demidoff
Thomas's bushbaby
Galago thomasi
Galagoides kumbirensis
Galagoides demidoff
Galagoides thomasi
Otolemur crassicaudatus
Grant's bushbaby
Paragalago granti
Uluguru bushbaby
Zanzibar bushbaby
Galago zanzibaricus
Paragalago cocos
Paragalago rondoensis
Paragalago orinus
Paragalago zanzibaricus
Galago alleni
Gabon bushbaby
Galago gabonensis
Sciurocheirus alleni
Sciurocheirus gabonensis
Sciurocheirus makandensis
Loris lydekkerianus
Nycticebus kayan
Nycticebus bengalensis
Nycticebus hilleri
Nycticebus coucang
Nycticebus bancanus
Nycticebus borneanus
Nycticebus javanicus
Nycticebus menagensis
Nycticebus pygmaeus
Calabar angwantibo
Arctocebus calabarensis
Golden angwantibo
Arctocebus aureus
Perodicticus edwardsi
Perodicticus ibeanus
Perodicticus potto
Vertebrate Life
