Aeromys thomasi
Belomys pearsonii
Biswamoyopterus biswasi
Biswamoyopterus gaoligongensis
Biswamoyopterus laoensis
Eoglaucomys fimbriatus
Eupetaurus cinereus
Eupetaurus nivamons
Eupetaurus tibetensis
Glaucomys oregonensis
Glaucomys sabrinus
Glaucomys volans
Hylopetes alboniger
Hylopetes bartelsi
Hylopetes electilis
Hylopetes lepidus
Hylopetes nigripes
Hylopetes phayrei
Hylopetes platyurus
Hylopetes sagitta
Hylopetes sipora
Hylopetes spadiceus
Hylopetes winstoni
Iomys horsfieldii
Iomys sipora
Petaurillus emiliae
Petaurillus hosei
Petaurillus kinlochii
Petaurista alborufus
Petaurista elegans
Petaurista leucogenys
Petaurista magnificus
Petaurista mechukaensis
Petaurista mishmiensis
Petaurista nobilis
Petaurista petaurista
Petaurista philippensis
Petaurista siangensis
Petaurista xanthotis
Petinomys crinitus
Petinomys fuscocapillus
Petinomys genibarbis
Petinomys hageni
Petinomys lugens
Petinomys mindanensis
Petinomys sagitta
Petinomys setosus
Petinomys vordermanni
Pteromys momonga
Pteromys volans
Pteromyscus pulverulentus
Trogopterus xanthipes
Callosciurus adamsi
Callosciurus albescens
Callosciurus baluensis
Callosciurus caniceps
Callosciurus erythraeus
Callosciurus finlaysonii
Callosciurus flavimanus
Callosciurus honkhoaiensis
Callosciurus inornatus
Callosciurus melanogaster
Callosciurus nigrovittatus
Callosciurus notatus
Callosciurus orestes
Callosciurus phayrei
Callosciurus prevostii
Callosciurus pygerythrus
Callosciurus quinquestriatus
Dremomys everetti
Dremomys gularis
Dremomys lokriah
Dremomys pernyi
Dremomys pyrrhomerus
Dremomys rufigenis
Exilisciurus concinnus
Exilisciurus exilis
Exilisciurus whiteheadi
Funambulus layardi
Funambulus obscurus
Funambulus palmarum
Funambulus sublineatus
Funambulus tristriatus
Funambulus pennantii
Glyphotes simus
Hyosciurus heinrichi
Hyosciurus ileile
Lariscus hosei
Lariscus insignis
Lariscus niobe
Lariscus obscurus
Menetes berdmorei
Nannosciurus melanotis
Prosciurillus abstrusus
Prosciurillus alstoni
Prosciurillus leucomus
Prosciurillus murinus
Prosciurillus rosenbergii
Prosciurillus topapuensis
Prosciurillus weberi
Rhinosciurus laticaudatus
Rubrisciurus rubriventer
Sundasciurus altitudinis
Sundasciurus brookei
Sundasciurus davensis
Sundasciurus everetti
Sundasciurus fraterculus
Sundasciurus hippurus
Sundasciurus hoogstraali
Sundasciurus jentinki
Sundasciurus juvencus
Sundasciurus lowii
Sundasciurus mindanensis
Sundasciurus moellendorffi
Sundasciurus natunensis
Sundasciurus philippinensis
Sundasciurus rabori
Sundasciurus robinsoni
Sundasciurus samarensis
Sundasciurus steerii
Sundasciurus tahan
Sundasciurus tenuis
Tamiops mcclellandii
Tamiops maritimus
Tamiops rodolphii
Tamiops swinhoei
Atlantoxerus getulus
Spermophilopsis leptodactylus
Euxerus erythropus
Geosciurus inauris
Geosciurus princeps
Xerus rutilus
Epixerus ebii
Funisciurus anerythrus
Funisciurus bayonii
Funisciurus carruthersi
Funisciurus congicus
Funisciurus isabella
Funisciurus lemniscatus
Funisciurus leucogenys
Funisciurus pyrropus
Funisciurus substriatus
Heliosciurus gambianus
Heliosciurus mutabilis
Heliosciurus punctatus
Heliosciurus rufobrachium
Heliosciurus ruwenzorii
Heliosciurus undulatus
Myosciurus pumilio
Paraxerus alexandri
Paraxerus boehmi
Paraxerus cepapi
Paraxerus cooperi
Paraxerus flavovittis
Paraxerus lucifer
Paraxerus ochraceus
Paraxerus palliatus
Paraxerus poensis
Paraxerus vexillarius
Paraxerus vincenti
Protoxerus aubinnii
Protoxerus stangeri
Ammospermophilus harrisii
Ammospermophilus insularis
Ammospermophilus interpres
Ammospermophilus leucurus
Ammospermophilus nelsoni
Callospermophilus lateralis
Callospermophilus madrensis
Callospermophilus saturatus
Cynomys gunnisoni
Cynomys leucurus
Cynomys ludovicianus
Cynomys mexicanus
Cynomys parvidens
Eutamias sibiricus
Ictidomys mexicanus
Ictidomys parvidens
Ictidomys tridecemlineatus
Marmota baibacina
Marmota bobak
Marmota broweri
Marmota camtschatica
Marmota caudata
Marmota himalayana
Marmota marmota
Marmota menzbieri
Marmota monax
Marmota sibirica
Marmota caligata
Marmota flaviventris
Marmota olympus
Marmota vancouverensis
Neotamias alpinus
Neotamias amoenus
Neotamias bulleri
Neotamias canipes
Neotamias cinereicollis
Neotamias dorsalis
Neotamias durangae
Neotamias merriami
Neotamias minimus
Neotamias obscurus
Neotamias ochrogenys
Neotamias palmeri
Neotamias panamintinus
Neotamias quadrimaculatus
Neotamias quadrivittatus
Neotamias ruficaudus
Neotamias rufus
Neotamias senex
Neotamias siskiyou
Neotamias sonomae
Neotamias speciosus
Neotamias townsendii
Neotamias umbrinus
Notocitellus adocetus
Notocitellus annulatus
Otospermophilus atricapillus
Otospermophilus beecheyi
Otospermophilus variegatus
Poliocitellus franklinii
Sciurotamias davidianus
Sciurotamias forresti
Spermophilus alashanicus
Spermophilus brevicauda
Spermophilus citellus
Spermophilus dauricus
Spermophilus erythrogenys
Spermophilus fulvus
Spermophilus major
Spermophilus musicus
Spermophilus nilkaensis
Spermophilus pallidicauda
Spermophilus pygmaeus
Spermophilus relictus
Spermophilus suslicus
Spermophilus taurensis
Spermophilus xanthoprymnus
Tamias striatus
Urocitellus armatus
Urocitellus beldingi
Urocitellus brunneus
Urocitellus canus
Urocitellus columbianus
Urocitellus elegans
Urocitellus endemicus
Urocitellus mollis
Urocitellus parryii
Urocitellus richardsonii
Urocitellus townsendii
Urocitellus undulatus
Urocitellus washingtoni
Xerospermophilus mohavensis
Xerospermophilus perotensis
Xerospermophilus spilosoma
Xerospermophilus tereticaudus
Graphiurus angolensis
Graphiurus christyi
Graphiurus crassicaudatus
Graphiurus johnstoni
Graphiurus kelleni
Graphiurus lorraineus
Graphiurus microtis
Graphiurus monardi
Graphiurus murinus
Graphiurus nagtglasii
Graphiurus ocularis
Graphiurus platyops
Graphiurus rupicola
Graphiurus surdus
Graphiurus walterverheyeni
Chaetocauda sichuanensis
Dryomys laniger
Dryomys niethammeri
Dryomys nitedula
Eliomys melanurus
Eliomys munbyanus
Eliomys quercinus
Muscardinus avellanarius
Myomimus personatus
Myomimus roachi
Myomimus setzeri
Selevinia betpakdalaensis
Glirulus japonicus
Glis glis
Glis persicus
Castor canadensis
Castor fiber
Cratogeomys castanops
Cratogeomys fulvescens
Cratogeomys fumosus
Cratogeomys goldmani
Cratogeomys merriami
Cratogeomys perotensis
Cratogeomys planiceps
Geomys arenarius
Geomys attwateri
Geomys breviceps
Geomys bursarius
Geomys jugossicularis
Geomys knoxjonesi
Geomys lutescens
Geomys personatus
Geomys pinetis
Geomys streckeri
Geomys texensis
Geomys tropicalis
Heterogeomys cavator
Heterogeomys cherriei
Heterogeomys dariensis
Heterogeomys heterodus
Heterogeomys hispidus
Heterogeomys lanius
Heterogeomys underwoodi
Orthogeomys cuniculus
Orthogeomys grandis
Orthogeomys matagalpae
Orthogeomys thaeleri
Pappogeomys bulleri
Thomomys atrovarius
Thomomys bottae
Thomomys bulbivorus
Thomomys nayarensis
Thomomys sheldoni
Thomomys townsendii
Thomomys umbrinus
Thomomys clusius
Thomomys idahoensis
Thomomys mazama
Thomomys monticola
Thomomys talpoides
Zygogeomys trichopus
Dipodomys ordi
Dipodomys agilis
Dipodomys californicus
Dipodomys compactus
Dipodomys deserti
Dipodomys elator
Dipodomys elephantinus
Dipodomys gravipes
Dipodomys heermanni
Dipodomys ingens
Dipodomys insularis
Dipodomys merriami
Dipodomys microps
Dipodomys nelsoni
Dipodomys nitratoides
Dipodomys ordii
Dipodomys panamintinus
Dipodomys phillipsii
Dipodomys simulans
Dipodomys spectabilis
Dipodomys stephensi
Dipodomys venustus
Microdipodops megacephalus
Microdipodops pallidus
Heteromys adspersus
Heteromys anomalus
Heteromys australis
Heteromys catopterius
Heteromys desmarestianus
Heteromys gaumeri
Heteromys goldmani
Heteromys irroratus
Heteromys nelsoni
Heteromys nubicolens
Heteromys oasicus
Heteromys oresterus
Heteromys pictus
Heteromys salvini
Heteromys spectabilis
Heteromys teleus
Chaetodipus baileyi
Chaetodipus arenarius
Chaetodipus artus
Chaetodipus californicus
Chaetodipus dalquesti
Chaetodipus eremicus
Chaetodipus fallax
Chaetodipus formosus
Chaetodipus goldmani
Chaetodipus hispidus
Chaetodipus intermedius
Chaetodipus lineatus
Chaetodipus nelsoni
Chaetodipus penicillatus
Chaetodipus pernix
Chaetodipus rudinoris
Chaetodipus spinatus
Perognathus alticola
Perognathus amplus
Perognathus fasciatus
Perognathus flavescens
Perognathus flavus
Perognathus inornatus
Perognathus longimembris
Perognathus merriami
Perognathus parvus
Allactaga firouzi
Allactaga hotsoni
Allactaga major
Allactaga severtzovi
Allactaga balikunica
Allactaga bullata
Allactaga sibirica
Allactodipus bobrinskii
Pygeretmus platyurus
Pygeretmus pumilio
Pygeretmus shitkovi
Scarturus elater
Scarturus euphratica
Scarturus tetradactyla
Scarturus vinogradovi
Scarturus williamsi
Cardiocranius paradoxus
Salpingotulus michaelis
Salpingotus crassicauda
Salpingotus heptneri
Salpingotus pallidus
Salpingotus thomasi
Salpingotus kozlovi
Dipus sagitta
Eremodipus lichtensteini
Jaculus blanfordi
Jaculus hirtipes
Jaculus jaculus
Jaculus orientalis
Jaculus thaleri
Jaculus turcmenicus
Paradipus ctenodactylus
Stylodipus andrewsi
Stylodipus sungorus
Stylodipus telum
Euchoreutes naso
Sicista armenica
Sicista betulina
Sicista caucasica
Sicista caudata
Sicista cimlanica
Sicista concolor
Sicista kazbegica
Sicista kluchorica
Sicista loriger
Sicista napaea
Sicista pseudonapaea
Sicista severtzovi
Sicista strandi
Sicista subtilis
Sicista talgarica
Sicista terskeica
Sicista tianshanica
Sicista trizona
Sicista zhetysuica
Eozapus setchuanus
Napaeozapus insignis
Zapus hudsonius
Zapus luteus
Zapus montanus
Zapus oregonus
