Scalopus aquaticus
Scapanulus oweni
Coast mole
Scapanus orarius
Townsend's mole
Scapanus townsendii
Scapanus latimanus
Desmana moschata
Dymecodon pilirostris
Himalayan mole
Kloss's mole
Long-nosed mole
Small-toothed mole
Vietnamese mole
Euroscaptor grandis
Euroscaptor micrura
Euroscaptor mizura
Euroscaptor klossi
Euroscaptor longirostris
Euroscaptor parvidens
Euroscaptor subanura
Galemys pyrenaicus
Echigo mole
Japanese mole
Sado mole
Mammal Study
Insular mole
Senkaku mole
Ussuri mole
Mogera robusta
Mogera etigo
Mogera insularis
Mogera wogura
Mogera tokudae
Mogera uchidai
Mogera imaizumii
Neurotrichus gibbsii
Parascaptor leucura
Scaptochirus moschatus
Scaptonyx fusicaudus
Altai mole
Talpa altaica
Balkan mole
Ognev's mole
Talysch mole
Blind mole
Talpa caeca
Caucasian mole
Talpa caucasica
European mole
Levant mole
Talpa levantis
Talpa davidiana
Roman mole
Talpa romana
Spanish mole
Talpa occidentalis
Talpa stankovici
Talpa ognevi
Talpa talyschensis
Urotrichus talpoides
Uropsilus andersoni
Uropsilus soricipes
Uropsilus gracilis
Uropsilus investigator
